"filename", "language", "Vento", "SCSS", "TypeScript", "JavaScript", "Markdown", "Shell Script", "Go Module File", "YAML", "comment", "blank", "total"
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\plugin_11ty_vento.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 0, 41, 13, 87
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\print-dist-tree.js", "JavaScript", 0, 0, 0, 149, 0, 0, 0, 0, 43, 72, 264
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\template\index.html", "Vento", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\template\main.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\template\main.scss", "SCSS", 0, 16, 0, 0, 0, 0, 0, 0, 0, 8, 24
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\template\main.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\test.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 79, 39, 132
"c:\Users\awa\Documents\coding\awasome-website-01\.github\workflows\build.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 43, 9, 6, 58
"c:\Users\awa\Documents\coding\awasome-website-01\README.md", "Markdown", 0, 0, 0, 0, 42, 0, 0, 0, 49, 22, 113
"c:\Users\awa\Documents\coding\awasome-website-01\engine\11ty-plugin-image.ts", "TypeScript", 0, 0, 131, 0, 0, 0, 0, 0, 34, 32, 197
"c:\Users\awa\Documents\coding\awasome-website-01\engine\11ty-plugin-sass.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 0, 49, 15, 105
"c:\Users\awa\Documents\coding\awasome-website-01\engine\11ty-postprocessors.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 14, 11, 58
"c:\Users\awa\Documents\coding\awasome-website-01\engine\11ty-preprocessors.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 0, 8, 10, 59
"c:\Users\awa\Documents\coding\awasome-website-01\engine\build-esbuild.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 5, 15, 69
"c:\Users\awa\Documents\coding\awasome-website-01\engine\build-logger.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 0, 0, 24, 24, 111
"c:\Users\awa\Documents\coding\awasome-website-01\engine\build.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 0, 0, 14, 31, 108
"c:\Users\awa\Documents\coding\awasome-website-01\engine\config.js", "JavaScript", 0, 0, 0, 104, 0, 0, 0, 0, 28, 43, 175
"c:\Users\awa\Documents\coding\awasome-website-01\engine\eleventy.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 0, 15, 18, 94
"c:\Users\awa\Documents\coding\awasome-website-01\engine\kaomoji.js", "JavaScript", 0, 0, 0, 3402, 0, 0, 0, 0, 1, 1, 3404
"c:\Users\awa\Documents\coding\awasome-website-01\engine\sunnymiku.js", "JavaScript", 0, 0, 0, 162, 0, 0, 0, 0, 56, 55, 273
"c:\Users\awa\Documents\coding\awasome-website-01\scripts\ansi.js", "JavaScript", 0, 0, 0, 73, 0, 0, 0, 0, 13, 16, 102
"c:\Users\awa\Documents\coding\awasome-website-01\scripts\merge-to-main.sh", "Shell Script", 0, 0, 0, 0, 0, 74, 0, 0, 33, 23, 130
"c:\Users\awa\Documents\coding\awasome-website-01\scripts\testinghiddenchar.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 1, 4, 16
"c:\Users\awa\Documents\coding\awasome-website-01\source\_styles\_base-styles.scss", "SCSS", 0, 48, 0, 0, 0, 0, 0, 0, 0, 7, 55
"c:\Users\awa\Documents\coding\awasome-website-01\source\_styles\_bundled.scss", "SCSS", 0, 7, 0, 0, 0, 0, 0, 0, 6, 2, 15
"c:\Users\awa\Documents\coding\awasome-website-01\source\_styles\_colors.scss", "SCSS", 0, 140, 0, 0, 0, 0, 0, 0, 46, 66, 252
"c:\Users\awa\Documents\coding\awasome-website-01\source\_styles\_fonts.scss", "SCSS", 0, 18, 0, 0, 0, 0, 0, 0, 3, 4, 25
"c:\Users\awa\Documents\coding\awasome-website-01\source\_styles\_functions.scss", "SCSS", 0, 18, 0, 0, 0, 0, 0, 0, 8, 15, 41
"c:\Users\awa\Documents\coding\awasome-website-01\source\_styles\_mixins.scss", "SCSS", 0, 8, 0, 0, 0, 0, 0, 0, 3, 4, 15
"c:\Users\awa\Documents\coding\awasome-website-01\source\_styles\_reset.scss", "SCSS", 0, 77, 0, 0, 0, 0, 0, 0, 25, 12, 114
"c:\Users\awa\Documents\coding\awasome-website-01\source\_styles\_theme.scss", "SCSS", 0, 1, 0, 0, 0, 0, 0, 0, 64, 7, 72
"c:\Users\awa\Documents\coding\awasome-website-01\source\_templates\logo-text.vto", "Vento", 22, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\awa\Documents\coding\awasome-website-01\source\_templates\main-base.vto", "Vento", 40, 0, 0, 0, 0, 0, 0, 0, 9, 11, 60
"c:\Users\awa\Documents\coding\awasome-website-01\source\_templates\theme-select.vto", "Vento", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\awa\Documents\coding\awasome-website-01\source\awa-util\_gameloop.ts", "TypeScript", 0, 0, 83, 0, 0, 0, 0, 0, 10, 24, 117
"c:\Users\awa\Documents\coding\awasome-website-01\source\awa-util\_inputtracking.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 80, 30, 139
"c:\Users\awa\Documents\coding\awasome-website-01\source\awa-util\_matrix.ts", "TypeScript", 0, 0, 98, 0, 0, 0, 0, 0, 6, 18, 122
"c:\Users\awa\Documents\coding\awasome-website-01\source\awa-util\_updateloop.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 5, 16, 77
"c:\Users\awa\Documents\coding\awasome-website-01\source\awa-util\core.ts", "TypeScript", 0, 0, 95, 0, 0, 0, 0, 0, 30, 48, 173
"c:\Users\awa\Documents\coding\awasome-website-01\source\critical.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 28, 14, 42
"c:\Users\awa\Documents\coding\awasome-website-01\source\index.html", "Vento", 34, 0, 0, 0, 0, 0, 0, 0, 12, 22, 68
"c:\Users\awa\Documents\coding\awasome-website-01\source\main.scss", "SCSS", 0, 89, 0, 0, 0, 0, 0, 0, 17, 33, 139
"c:\Users\awa\Documents\coding\awasome-website-01\source\main.ts", "TypeScript", 0, 0, 83, 0, 0, 0, 0, 0, 16, 41, 140
"c:\Users\awa\Documents\coding\awasome-website-01\source\modules\progressive_image_loading\core.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 2, 7, 33
